OBJECTID,X,Y
34107,220070.9844,3310113.735
34108,220150.9844,3310113.735
34109,220230.9844,3310113.735
34110,220310.9844,3310113.735
34111,220390.9844,3310113.735
34112,220470.9844,3310113.735
34113,220550.9844,3310113.735
34114,220630.9844,3310113.735
34115,220710.9844,3310113.735
34116,220790.9844,3310113.735
34117,220870.9844,3310113.735
34118,220950.9844,3310113.735
34119,221030.9844,3310113.735
34120,221110.9844,3310113.735
34121,221190.9844,3310113.735
34122,221270.9844,3310113.735
34123,221350.9844,3310113.735
34124,221430.9844,3310113.735
34125,221510.9844,3310113.735
34126,221590.9844,3310113.735
34127,221670.9844,3310113.735
34128,221750.9844,3310113.735
34129,221830.9844,3310113.735
34130,221910.9844,3310113.735
34131,221990.9844,3310113.735
34132,222070.9844,3310113.735
34133,222150.9844,3310113.735
34134,222230.9844,3310113.735
34135,222310.9844,3310113.735
34136,222390.9844,3310113.735
34137,222470.9844,3310113.735
34138,222550.9844,3310113.735
34139,222630.9844,3310113.735
34140,222710.9844,3310113.735
34141,222790.9844,3310113.735
34142,219910.9844,3310193.735
34143,219990.9844,3310193.735
34144,220070.9844,3310193.735
34145,220150.9844,3310193.735
34146,220230.9844,3310193.735
34147,220310.9844,3310193.735
34148,220390.9844,3310193.735
34149,220470.9844,3310193.735
34150,220550.9844,3310193.735
34151,220630.9844,3310193.735
34152,220710.9844,3310193.735
34153,220790.9844,3310193.735
34154,220870.9844,3310193.735
34155,220950.9844,3310193.735
34156,221030.9844,3310193.735
34157,221110.9844,3310193.735
34158,221190.9844,3310193.735
34159,221270.9844,3310193.735
34160,221350.9844,3310193.735
34161,221430.9844,3310193.735
34162,221510.9844,3310193.735
34163,221590.9844,3310193.735
34164,221670.9844,3310193.735
34165,221750.9844,3310193.735
34166,221830.9844,3310193.735
34167,221910.9844,3310193.735
34168,221990.9844,3310193.735
34169,222070.9844,3310193.735
34170,222150.9844,3310193.735
34171,222230.9844,3310193.735
34172,222310.9844,3310193.735
34173,222390.9844,3310193.735
34174,222470.9844,3310193.735
34175,222550.9844,3310193.735
34176,222630.9844,3310193.735
34177,222710.9844,3310193.735
34178,222790.9844,3310193.735
34179,222870.9844,3310193.735
34180,219830.9844,3310273.735
34181,219910.9844,3310273.735
34182,219990.9844,3310273.735
34183,220070.9844,3310273.735
34184,220150.9844,3310273.735
34185,220230.9844,3310273.735
34186,220310.9844,3310273.735
34187,220390.9844,3310273.735
34188,220470.9844,3310273.735
34189,220550.9844,3310273.735
34190,220630.9844,3310273.735
34191,220710.9844,3310273.735
34192,220790.9844,3310273.735
34193,220870.9844,3310273.735
34194,220950.9844,3310273.735
34195,221030.9844,3310273.735
34196,221110.9844,3310273.735
34197,221190.9844,3310273.735
34198,221270.9844,3310273.735
34199,221350.9844,3310273.735
34200,221430.9844,3310273.735
34201,221510.9844,3310273.735
34202,221590.9844,3310273.735
34203,221670.9844,3310273.735
34204,221750.9844,3310273.735
34205,221830.9844,3310273.735
34206,221910.9844,3310273.735
34207,221990.9844,3310273.735
34208,222070.9844,3310273.735
34209,222150.9844,3310273.735
34210,222230.9844,3310273.735
34211,222310.9844,3310273.735
34212,222390.9844,3310273.735
34213,222470.9844,3310273.735
34214,222550.9844,3310273.735
34215,222630.9844,3310273.735
34216,222710.9844,3310273.735
34217,222790.9844,3310273.735
34218,222870.9844,3310273.735
34219,219750.9844,3310353.735
34220,219830.9844,3310353.735
34221,219910.9844,3310353.735
34222,219990.9844,3310353.735
34223,220070.9844,3310353.735
34224,220150.9844,3310353.735
34225,220230.9844,3310353.735
34226,220310.9844,3310353.735
34227,220390.9844,3310353.735
34228,220470.9844,3310353.735
34229,220550.9844,3310353.735
34230,220630.9844,3310353.735
34231,220710.9844,3310353.735
34232,220790.9844,3310353.735
34233,220870.9844,3310353.735
34234,220950.9844,3310353.735
34235,221030.9844,3310353.735
34236,221110.9844,3310353.735
34237,221190.9844,3310353.735
34238,221270.9844,3310353.735
34239,221350.9844,3310353.735
34240,221430.9844,3310353.735
34241,221510.9844,3310353.735
34242,221590.9844,3310353.735
34243,221670.9844,3310353.735
34244,221750.9844,3310353.735
34245,221830.9844,3310353.735
34246,221910.9844,3310353.735
34247,221990.9844,3310353.735
34248,222070.9844,3310353.735
34249,222150.9844,3310353.735
34250,222230.9844,3310353.735
34251,222310.9844,3310353.735
34252,222390.9844,3310353.735
34253,222470.9844,3310353.735
34254,222550.9844,3310353.735
34255,222630.9844,3310353.735
34256,222710.9844,3310353.735
34257,222790.9844,3310353.735
34258,222870.9844,3310353.735
34259,222950.9844,3310353.735
34260,219750.9844,3310433.735
34261,219830.9844,3310433.735
34262,219910.9844,3310433.735
34263,219990.9844,3310433.735
34264,220070.9844,3310433.735
34265,220150.9844,3310433.735
34266,220230.9844,3310433.735
34267,220310.9844,3310433.735
34268,220390.9844,3310433.735
34269,220470.9844,3310433.735
34270,220550.9844,3310433.735
34271,220630.9844,3310433.735
34272,220710.9844,3310433.735
34273,220790.9844,3310433.735
34274,220870.9844,3310433.735
34275,220950.9844,3310433.735
34276,221030.9844,3310433.735
34277,221110.9844,3310433.735
34278,221190.9844,3310433.735
34279,221270.9844,3310433.735
34280,221350.9844,3310433.735
34281,221430.9844,3310433.735
34282,221510.9844,3310433.735
34283,221590.9844,3310433.735
34284,221670.9844,3310433.735
34285,221750.9844,3310433.735
34286,221830.9844,3310433.735
34287,221910.9844,3310433.735
34288,221990.9844,3310433.735
34289,222070.9844,3310433.735
34290,222150.9844,3310433.735
34291,222230.9844,3310433.735
34292,222310.9844,3310433.735
34293,222390.9844,3310433.735
34294,222470.9844,3310433.735
34295,222550.9844,3310433.735
34296,222630.9844,3310433.735
34297,222710.9844,3310433.735
34298,222790.9844,3310433.735
34299,222870.9844,3310433.735
34300,222950.9844,3310433.735
34301,223030.9844,3310433.735
34302,219750.9844,3310513.735
34303,219830.9844,3310513.735
34304,219910.9844,3310513.735
34305,219990.9844,3310513.735
34306,220070.9844,3310513.735
34307,220150.9844,3310513.735
34308,220230.9844,3310513.735
34309,220310.9844,3310513.735
34310,220390.9844,3310513.735
34311,220470.9844,3310513.735
34312,220550.9844,3310513.735
34313,220630.9844,3310513.735
34314,220710.9844,3310513.735
34315,220790.9844,3310513.735
34316,220870.9844,3310513.735
34317,220950.9844,3310513.735
34318,221030.9844,3310513.735
34319,221110.9844,3310513.735
34320,221190.9844,3310513.735
34321,221270.9844,3310513.735
34322,221350.9844,3310513.735
34323,221430.9844,3310513.735
